<a0> <a1> <a2> <a3> <b0> <b1> <b2> <b3> <c0> <r> <r_gold>
7.5 -2.5 -2 -2.75 -3.75 -7.5 -5.5 1.25 2.25 0.5625 -0.25
-5 -6.5 -0.375 -8 -9 6 2.75 -1.25 9 24 22
-8 2.25 9 -1.625 -1.625 -1 -4.5 2.25 8 -26 -24
7 2.25 -9 -2.5 -3.25 9 4.5 -3.75 -10 -44 -40
3.5 -8 5 -4.5 -2 3.75 -5.5 -10 -10 -28 -30
1.25 -4 -7 0.75 -8 6.5 -7.5 7.5 3 26 24
3.5 -3.75 -0.75 -7.5 8 0.9375 -4.5 2.75 9 15 16
6 -5.5 -10 -0.5 -7 -9 -2.5 -0.40625 2.25 36 36
-9 2.75 -8 -2.75 -1 -5.5 -3.5 -10 2 52 48
10 -5.5 4.5 1.5 5 -5 -5.5 2.25 -2.25 52 56
-1.625 6.5 8 2.75 2.25 -5 -4.5 2.25 -0.25 -64 -64
5.5 -9 9 8 7.5 -0.46875 -10 6 -2.75 0 1.25
10 8 2.25 -5.5 -4.5 0.5625 6.5 2.75 -2.25 -44 -44
-3 3.5 5 8 -6 7.5 6 8 3 144 128
3.5 -2.25 8 -1.875 4.5 3.75 7 -1.5 9 72 72
-3.25 -3 0.375 10 -2.25 -10 9 9 -1.375 128 128
6 0.3125 5 -8 -1.875 9 -8 6.5 -7 -112 -104
-4 6 -4.5 7 -3 5 8 -8 9 -44 -44
1.75 -3 -5 1.125 -8 -1.625 -3.25 -5.5 -9 -10 -8
5.5 7 1.25 -9 -3 1 7.5 8 -6.5 -80 -80
5.5 -3.25 -5 -8 4.5 -0.125 -3.5 -9 5.5 120 120
-4 -4 -6.5 8 2.25 -7.5 4 -3.5 -0.5 -32 -32
-0.6875 -8 -6 -2.5 -6.5 0.03125 3.25 -5.5 -9 -10 -11
-7 1.375 -5 6.5 -2.5 9 -7.5 -0.8125 -6.5 56 52
3.75 -1.875 0.40625 5 -1 0.0625 6.5 7 -10 24 26
-9 -7.5 7 4 -9 6 6.5 -1.375 0.140625 72 72
3.5 -3.25 -6.5 5 -3 -1.375 6 -8 -2.25 -88 -80
-0.6875 1.875 -3.5 -5 -1.375 8 0.4375 -3.75 -9 24 24
-2 -3.5 9 3.5 2.25 6 2 -4 8 -14 -12
2.25 2.25 -10 -1.5 -6.5 -5.5 0.75 7 7 -40 -40
1 6 10 9 -7 -3 1.5 6 0.15625 44 48
-10 -7.5 -6 -5.5 -3.5 1.625 -1.25 -6 -2.5 60 60
0.625 -8 7 7 -3.75 1 -0.203125 8 -3.5 40 40
-5.5 -0.5 -4 7.5 3.5 1.25 7.5 7.5 0.625 8 9
7 1.5 -10 4.5 -2.25 3.25 -0.28125 -6 3.25 -32 -32
6.5 5 -6.5 -3 -8 7 0.203125 3.75 -10 -40 -40
2 -6 -10 -9 -1.875 -7 -2.25 -9 -2.75 144 128
-6 -5.5 3.25 -8 -9 9 -9 -7 4 32 36
2.5 -2.25 5 -4 2 3.75 5 7.5 2 -6 -8
5 -2.5 3.25 4 -8 3 10 -3.25 -9 -36 -36
-1.875 5 -6.5 9 0.9375 1.125 6.5 -2.25 0.171875 -60 -60
3 5 -8 0.0117188 9 4.5 9 -2.75 7 -16 -16
-1.375 -7 4.5 1.875 1.25 4 -3.5 -0.0136719 -0.34375 -44 -48
3 6 -6.5 7.5 -5 4.5 -6.5 -7.5 9 8 9
2.75 3.25 -1 -3.75 -4.5 7.5 1.25 1.5 -10 -4.5 -4.5
-7 3.5 -3.5 0.8125 2.75 -3.5 0.5625 2 5 -26 -24
-2.25 0.25 6 3.5 0.203125 3 5 2.25 -9 30 32
-2.25 -8 8 -3.75 2.75 9 7 7.5 -6.5 -60 -60
1.75 0.28125 -1.75 6.5 -1.375 -3.5 3.5 6.5 -7 26 24
-6.5 9 -5.5 10 -6 -8 2.25 6.5 2.25 20 22
6 7 -2.25 9 6.5 9 9 -4 -6.5 36 36
9 5 1.625 -6.5 -6 5 8 7.5 -9 -80 -72
10 6 -4.5 5 -1.375 -4.5 -1.125 -6 7.5 -56 -56
0.75 -7.5 4 1.875 3.5 -9 -6.5 9 6.5 72 64
1.125 7.5 1.75 -2.25 5.5 0.0351562 -7.5 -2.75 0.5625 0.6875 -0.4375
2.25 -5 3.75 9 -3.5 5.5 5.5 5.5 -9 26 24
-7 -4 -7.5 -0.5625 8 0.6875 -6 -6.5 9 -3.25 -3
0.140625 2.25 -9 7 2.75 -7 -7 2 -1.875 56 64
3.75 -5.5 5.5 7.5 -7.5 7 -4.5 5 0.3125 -52 -52
-10 -3.75 9 -1.625 2.5 7 -3.25 -5 8 -64 -64
-2.25 1.625 0.40625 -6 0.75 3.75 -3.75 1.25 -4.5 -9 -10
-0.3125 9 -10 3.75 1.625 -9 4 5.5 -2 -96 -96
-3.5 9 -4 3 5 3.25 -10 -4 0.109375 40 40
-6 6.5 -6.5 -1.875 -4.5 -10 -6.5 -7.5 5 24 28
-8 -2.25 -1.25 -1.125 -9 5.5 -3.5 -6.5 7 80 80
-3.75 5.5 7 1.5 8 9 -9 -6 -2 -52 -56
-0.0625 -9 -3 -5 0.875 -5 1.75 -9 2 88 80
0.0703125 -5 5.5 7.5 -4.5 5.5 -9 7 9 -12 -20
-4 -10 7 -5.5 -2.5 -6.5 -3 0.5 -3.5 48 44
10 2.5 -1.875 -2 5 -0.5625 -0.875 9 -8 22 22
10 -2.5 -1.75 0.21875 7 -7 -1.125 -9 10 96 96
-6.5 -4.5 1.375 -6.5 -2.5 7 0.5625 -3 -6.5 -2.5 -1.5
1.375 7 9 -4 6.5 6.5 -9 2.5 -8 -40 -48
-5.5 -0.203125 7 -7.5 7.5 8 4.5 9 -6.5 -80 -80
-1.5 0.875 -0.171875 3.25 -7.5 -1.625 -9 -7 -5.5 -16 -16
1.75 -7.5 10 6.5 2.25 6 0.28125 8 0.25 16 16
-6.5 3 5.5 -0.34375 2.5 0.046875 -8 7 -4.5 -64 -72
0.1875 6 7.5 5 5.5 2 0.75 -7 -5.5 -22 -24
-5 -5.5 -0.140625 -5.5 -2 4.5 -2.5 5.5 -0.109375 -44 -44
0.40625 -1.5 -10 -1.375 6 -0.875 7 -2.5 5 -56 -64
0.171875 4.5 3.75 -9 -6 8 1.625 0.34375 -3.75 36 32
1.875 10 1.25 -9 -5.5 -6.5 -1.25 -9 8 16 16
6.5 -6.5 7.5 10 -7 -2 0.625 9 0.75 64 60
-3 -2.25 -2.75 7.5 5 6.5 7.5 3.5 -9 -32 -32
5.5 -8 7.5 -1.125 5 -5.5 -4.5 2.25 -4.5 28 32
8 -8 -6.5 7.5 -8 1.625 6 -2.25 -2.5 -144 -128
5.5 6.5 6.5 -9 4 9 1.5 -8 -2 160 160
1.75 -3 -3.75 1.25 -7.5 -6 7.5 -5.5 -1.25 -30 -32
7 -1.75 -3.5 3.75 5 3 -9 0.75 9 72 72
5 1.25 8 -4.5 -9 -3.5 -3.25 2.25 -9 -96 -88
4 -0.625 -10 -1.75 7.5 0.28125 -0.34375 -9 -9 40 40
9 -3.25 8 2 1.5 -0.28125 3.5 5.5 -0.6875 52 56
-10 2.25 9 1.25 9 -5 6.5 0.03125 -6.5 -44 -44
-6 -4.5 -0.875 -6.5 0.8125 9 1.875 -7 -1.625 -2.5 -1.625
0.875 9 4.5 -3 -1.625 -8 4 5 -3.5 -80 -72
1.375 8 -1.625 2.75 -0.46875 1.375 -0.25 -3 -9 -7 -7
-5 1.75 10 -1.5 -0.375 -9 5.5 -0.625 -0.0859375 40 40
4.5 -9 5.5 5.5 1.875 -0.34375 -7 3 -7.5 -20 -20
-6.5 -9 1.5 -8 3.5 1.375 3.25 -4 -2.25 0 1.75
-0.625 -3.75 -4.5 7 -7 7 -3 -1.125 -0.46875 -16 -16
8 2 -2.75 -7 3.75 8 -3.75 -4.5 -7.5 80 80
7 0.40625 -5 -7 -3.25 -9 -5.5 10 6 -64 -64
-1 -9 9 9 8 -3.25 -7.5 6 -2.5 6 14
-6.5 -0.1875 0.234375 -3 10 -8 7.5 3.5 -10 -80 -80
-3.5 -3.75 -9 -8 -7 -1.875 -0.0703125 3.75 2.25 2 4
-0.34375 1.625 2.75 -2.75 -6.5 -10 10 -5 4.5 32 32
-7 -7.5 -0.203125 5 -5.5 -1.5 -4.5 5 9 88 88
-5.5 -3.25 -8 8 -0.625 -10 -5 -6 -4 24 28
6.5 2.75 4 -5 -0.234375 7 -4.5 9 -3 -48 -48
1.625 -3.75 10 -8 1.5 4.5 4 -9 -5 96 88
-3.5 -7 9 -2.5 10 2.25 -6.5 -3.25 -0.9375 -104 -104
-1.5 9 2.75 -2.25 -2.25 7.5 2.5 2.25 7.5 80 72
10 -7.5 1.375 -9 -5 -10 10 -1.5 -7 44 48
-9 -3.25 6 -7.5 4.5 1.875 -0.5625 -4 -6 -30 -28
-4 1.875 -0.8125 6 -0.6875 -2.75 -6.5 2.25 8 24 26
5.5 -3 6 -7.5 5.5 -6 -9 6 0.625 -52 -52
-8 0.34375 9 5 -8 2 -9 -7 7.5 -44 -44
-6 -10 -10 -10 -0.101562 -3 3.75 -0.4375 -7.5 -10 -9
4.5 10 9 -2 10 9 -6.5 -5 0.3125 80 72
-6 -1.875 1.125 -7.5 -6.5 -10 0.6875 -5.5 2.75 104 96
-0.15625 -1.875 7 5.5 0.34375 9 -8 -3.5 -5 -96 -104
-4 -3.5 2.25 -10 2.5 7.5 -8 5 -3.25 -104 -104
-4.5 -1.25 -3.25 -5.5 3.25 9 -0.5625 -7.5 4.5 22 20
-4.5 7.5 -1 8 -7 -4 -0.5 2.75 -3 20 20
7.5 9 -7.5 -7 5 2 4.5 8 8 -26 -24
4 -10 5 1.375 -10 -5.5 3.5 1.25 8 40 40
8 9 -2 -8 1.25 -1.25 -4.5 -10 3 88 88
-2 8 -9 -9 9 -0.625 9 -1.625 0.5 -88 -88
-9 0.0351562 3 -0.46875 3.75 -7.5 -7.5 -4.5 3 -48 -52
8 -3.75 6.5 9 -0.375 7 0.75 0.0546875 8 -18 -16
3.75 -9 9 -5.5 1.5 -1.25 -6.5 7 0.625 -80 -80
-9 4 -5 9 -5 -5.5 5.5 -4.5 1.375 -40 -48
8 1.75 10 -3.25 1.5 3 7 -3.75 -7.5 96 88
-1.375 3 -7 3.75 -8 -6.5 -8 -8 -2.25 18 16
7.5 -2.75 -5 -3 -4.5 -5 -3.25 -3.75 4 12 13
-7.5 0.0117188 -6 -9 -7.5 1.125 -9 10 5 22 28
-4 3.75 -8 0.625 5 -10 1.125 -2.5 4.5 -60 -60
8 0.40625 -5.5 -9 2.25 8 -7.5 7.5 -0.875 -3.5 -0.875
1.125 1.375 -4.5 -6 2.25 -10 1.25 -9 7.5 44 48
9 3.25 -3.5 -6.5 -10 -10 4 7 6.5 -176 -176
-6.5 9 -0.5625 4.5 2.5 4 -6.5 -10 10 -13 -10
-1.25 9 6.5 -2.5 10 10 -9 8 -6 -6 -6
-8 4 10 9 10 -3.5 2.5 -9 -7 -160 -160
-3.25 -0.875 -3.75 -2.25 -8 1.5 -4.5 -4 1.625 52 48
0.875 7 9 5 -4.5 0.28125 2.75 1.5 -4 26 26
-6.5 -0.8125 5 -3.5 7 0.5625 -8 9 -7 -128 -120
2.75 10 -10 -7 -5.5 9 9 6.5 4 -56 -56
6.5 -4 3.25 -1.625 4 -3.5 6.5 6 -3.75 48 52
-9 3.75 7 -7.5 -6 1.375 3.5 7 8 44 36
1.625 4.5 6.5 5.5 -7 6.5 -3.25 2.25 -4.5 4.5 5.5
2 -5.5 -2.5 2.5 -10 2.25 -2.5 -3 0.375 -32 -32
0.9375 -0.5 3.75 3.5 1 -3.25 -6.5 -0.9375 4 -22 -22
1.125 -7.5 0.34375 -1.75 -3.75 -5.5 5 9 2.75 24 22
5.5 -0.9375 4.5 8 9 2.75 -8 -6 -1.375 -40 -40
-9 8 -0.46875 3.75 -1.75 -1.375 -7.5 -6.5 -7.5 -24 -24
6.5 2.5 -7 -7.5 3 -3 -7.5 10 3 -11 -5
5 -5 0.234375 10 -1.25 -2.75 -6.5 -1.5 -0.375 -10 -8
6.5 -2.5 10 0.0546875 -9 4.5 6.5 5.5 3.75 1.25 -3.75
-5.5 -10 3.5 -4.5 -2.25 1.875 0.40625 -3.25 -7 2.5 3
7.5 -7.5 -4 -5.5 -1.25 -7 -5 1.125 1 56 56
-5 -10 10 -9 6.5 -8 -6.5 8 10 -80 -80
-3.25 6.5 2.25 -1.625 10 -5.5 -0.5 -9 -2.5 -56 -52
5 3.5 -2.75 0.75 -0.6875 -7 8 -9 -4.5 -64 -60
-6.5 -6 -7 -7.5 -9 10 7 7.5 -8 -112 -112
-1.625 -5 -6.5 1.625 -5.5 10 9 6 6.5 -88 -80
7 -8 -3 -1.625 -2.5 -1.75 3 -9 4.5 6.5 6.5
3.25 -9 -1.375 -0.5625 3.25 1.5 -0.9375 -9 -1.375 1.75 1.875
3.5 -1.5 -9 -5.5 -9 -0.875 4 3 9 -72 -72
-9 10 3.25 6 -6.5 -2.75 1.25 -7 -1 -10 -5
6.5 -3.25 -5.5 1.75 7.5 -4.5 0.9375 4.5 5.5 72 72
-6.5 6.5 5.5 -8 -5 -6 -9 -3.25 9 -22 -20
8 -10 9 5.5 6.5 -7 -5.5 0.5 -0.40625 72 80
9 0.5625 -8 -9 -6 -1.5 -1.75 -4 4.5 4 0.5
6.5 10 -2.5 6 9 -1.125 -8 -6 3.75 36 32
-7 1.125 -10 -2 -0.5625 3.75 -7 -4 -0.6875 88 88
5 1.25 6 6 -9 -5 1.625 -5.5 10 -72 -64
-5 1.75 1.875 -3.75 -0.25 9 -5 9 -5 -32 -28
0.5 -0.6875 -7 1.125 -8 5 -2 -9 5 1.875 1.5
-3.75 -4 9 9 -8 8 8 -3.25 -2.5 36 36
-7 9 -5.5 3.25 5.5 -3.5 -3.75 -10 3 -80 -80
3.5 6.5 2 3.25 -2.75 5 4 9 9 72 72
-0.6875 -9 -6 -5 5 -1.125 -10 -9 4 120 112
3.75 -5.5 -1.125 1.5 -2 -8 1.25 2 -0.5625 40 40
2 9 -4 5 9 -6 -1.875 -3.75 0.75 -48 -48
-3.75 -4.5 -0.8125 5.5 -6 -2.25 2.75 -1.625 8 28 28
-8 -10 7.5 -5 9 7 2.75 0.4375 8 -104 -120
-4.5 9 -5.5 2.5 9 -1.5 -6.5 10 -5 5 -1
-2.75 0.875 1.25 2.25 -0.875 -3.75 1.5 -0.109375 4 5 5
-7 -5.5 0.6875 -2 -0.375 -1 -2.5 3.5 -6 -6.5 -7
4.5 -3.5 -9 -3.25 -9 7 6 -3.75 10 -96 -104
-8 -1.625 7.5 -4 6 1.875 -3.5 7 -2.25 -112 -112
-3.25 -6 0.6875 -6.5 0.5625 -2.5 -7 8 7 -36 -36
-6.5 7.5 1.5 -8 -4.5 -1.875 6 -8 -4 80 80
-7.5 -5.5 1.625 -10 -1.5 -5 -3 3.75 -4.5 -5.5 -4.5
1.125 4 10 -6.5 -9 1.5 4.5 -4.5 -1.375 72 72
-8 -2.5 -0.171875 3.25 8 0.8125 -5 1 -9 -72 -72
1.5 -0.8125 9 -6 -1.625 6 -0.8125 8 5.5 -56 -60
10 5 6.5 -8 -6 -9 8 6 0.203125 -96 -96
-6 -0.8125 -8 -6 -0.8125 -4 9 -3 -3.5 -48 -52
-4 6 -3 6.5 3.25 -9 -10 -0.5 -6 -44 -48
2.5 -6.5 -10 -3 -8 -8 6 8 2.75 -52 -48
7 5.5 8 3.75 3 10 5.5 2.75 -3 120 144
9 -2.75 5.5 -0.046875 7.5 -5 6.5 4.5 -9 104 104
5.5 -5.5 2.5 0.203125 -4.5 1 3.25 -7 9 -15 -15
-6 -1.125 -6.5 10 7 3.75 -0.75 -3.5 1.625 -72 -80
8 -2.25 7.5 -8 -5 -2.25 -4.5 -8 -5.5 -8 -5.5
-9 1.875 -0.25 10 0.375 -0.6875 -8 4.5 -6.5 36 32
1.75 8 -8 2.75 -6 7 1.25 -9 5.5 15 22
-1.5 6 -1.75 5.5 -4 6.5 -9 5.5 4.5 96 104
8 4.5 4.5 -8 -9 -4 -3 1.5 -6 -128 -120
-4.5 7.5 0.3125 -6.5 1.25 1.375 -0.875 1.75 -6.5 -13 -14
3.5 1.75 -4 2 -3 9 3 -7.5 1.125 -20 -18
-8 -9 1.75 -4.5 5.5 2.5 -1.75 -3.25 0.75 -48 -48
5.5 -4 -2.5 -8 9 1.375 2.75 7 3 -16 -16
5 -2.75 -4.5 -10 2.25 -9 10 9 -9 -104 -104
-10 -1.75 9 4 -0.625 -6.5 -0.375 2.25 0.75 24 20
0.625 -4.5 8 -8 9 0.5625 -0.8125 -8 6 64 64
1.375 0.6875 -1 -5 7 -8 -0.9375 -0.109375 1.875 8 8
7 -10 -7 -6 2.5 1 -4.5 -1.25 7.5 52 56
-3.5 -1.875 0.75 1.375 -3.25 -3.25 -5.5 9 7 32 32
6 3 -9 2.75 8 5 -4.5 -2.25 -3.75 96 96
-1.5 8 -5 7 -1 10 -1.125 -9 -0.6875 24 24
3.75 -1.125 -1.375 -5.5 -0.109375 8 -9 -3.5 -0.6875 22 24
-6.5 9 -9 -0.625 9 -4 4 5.5 -0.0703125 -128 -128
4 -4.5 9 -10 -8 -0.8125 -4.5 -1.5 -3 -56 -52
-4.5 5 -0.15625 -6 7 -9 1.5 3 1.625 -88 -96
4.5 1.125 -5 5.5 -7.5 -7 -9 -4.5 5 -16 -15
6 -6.5 8 -7.5 3.25 -7 6.5 -4 -9 144 128
-8 0.25 -3 -4.5 -10 -8 9 6.5 -5.5 15 16
2 7 -6 -6.5 -2.75 -10 -0.0585938 -3 -5.5 -60 -64
-1.25 -1.375 0.1875 -10 2.25 -1.75 5 -5.5 10 64 64
2.25 3.75 -5 4 8 -3 -3.5 -6.5 7.5 6 5.5
3.75 3.25 -6.5 -4 6.5 5.5 -10 0.171875 -7 104 96
-9 10 7 -9 1.125 0.8125 -6 -1.625 -2 -32 -26
5 -0.875 1 3.5 -7 -4 5.5 2 4.5 -13 -16
3.25 0.9375 4.5 5.5 -9 -2.5 -1.625 -1.125 9 -36 -40
7 2.25 8 -8 -3 0.625 -8 0.75 0.375 -88 -88
7.5 8 1.25 -7 0.4375 -2.5 -0.625 -2.75 10 11 14
5.5 2.75 2.5 -8 -4.5 -2 -2 -5.5 -7.5 4 0.5
-3 -9 -3.25 -0.5625 4.5 6 10 8 -2.5 -112 -112
2.5 -8 -6 -6.5 0.875 -1.75 -9 -5 -8 96 96
6.5 -8 -5.5 0.0351562 -6 5 0.203125 -8 -2.75 -80 -80
9 -0.1875 10 1.25 7 -3.25 -5 -2 2.75 12 16
-1.125 3.75 1.375 8 6.5 -0.9375 -3.25 2.75 6 13 12
5 10 -5.5 -10 -2 3.75 6 6.5 3.75 -64 -72
-0.101562 -1.25 -3 5 9 5.5 6 7 0.9375 11 11
-6.5 -4.5 5.5 -4.5 9 6.5 -4 -0.3125 9 -104 -104
-9 -2.5 4.5 -6 -1.25 -9 6.5 4 -9 28 32
-1.875 1 -3.5 -2.75 -6.5 -7 9 1 -3.75 -32 -32
-6 -10 2.75 5 4.5 -8 6.5 -7 6 44 40
-8 -8 5.5 0.8125 -8 -1.125 -7.5 7.5 7 48 48
-9 -1.5 3.75 2.25 -1 3.25 0.6875 -3.25 -4.5 -5 -5.5
1.875 2 -4.5 3.75 -3.75 -7.5 -1.125 7.5 -7 6 5
1.375 -9 -3 -9 -0.75 -6.5 10 -1.125 -0.9375 36 40
10 1.25 -8 4.5 1.875 -5 8 5.5 7.5 -20 -20
5 -4 3.5 -0.40625 10 1.625 -0.625 0.5625 -9 30 28
0.625 5.5 0.03125 -4.5 -2.75 0.3125 -5.5 4.5 -1 -22 -20
-8 -3.25 -0.34375 -9 9 -2.5 9 3.75 -4.5 -104 -104
-7 3.75 -1.25 4 1.875 8 4.5 2.5 -9 12 11
2.5 7.5 -7.5 -2.5 9 -7.5 -2.5 10 6.5 -32 -32
-2.25 -9 7 2 4 2.5 0.203125 2.75 9 -14 -15
-3.25 3 -5.5 9 -6 -6 9 -9 3 -128 -128
-8 5 10 -7 7.5 -9 -5.5 5.5 -3.25 -192 -192
-7 -7 -0.9375 -8 -4.5 4 -2 2.25 6 -8 -6
10 -3 2 -8 10 6 -0.28125 -9 -9 144 144
-10 4.5 -9 -3.25 9 6.5 5.5 -2.5 9 -96 -88
8 7.5 6 6 4.5 -0.15625 7 6.5 1.75 120 120
-9 -10 -2 9 -0.1875 6 6 -5 2.5 -112 -112
-4.5 7 -8 -0.203125 1.25 -1.625 1.5 -6.5 -7.5 -36 -32
-6.5 -3 -8 4.5 -2 6.5 -7 -7 -7.5 8 8
8 -8 3.25 9 -2.75 -1 3.75 -8 -9 -80 -80
-7 0.8125 8 3.5 -5 9 4 -1 6.5 80 88
-6 -5 4.5 -5.5 -6.5 -8 6.5 -6.5 -6 144 144
4.5 8 -0.6875 4.5 -7.5 8 -7.5 7.5 -2.25 64 60
8 -0.6875 -0.8125 5 -2 5.5 4 3.5 -2.75 -8 -9
-7.5 -8 4.5 -1.25 3 -5.5 9 1.875 -1.875 56 60
10 7.5 -1.875 -3.25 -3.5 1.375 6 -8 2.25 -6 -8
0.625 8 -0.75 3.25 1.25 9 7.5 9 7 104 104
-4.5 5.5 -2.5 7 4.5 -10 4 -10 -2 -160 -160
1.5 7 9 3 5 -3.75 -6 -10 -7.5 -112 -112
-4 7 -5.5 -7 -10 -2.75 8 8 -7.5 -88 -88
9 0.140625 -6.5 0.4375 6.5 -9 4 4 2.25 32 36
8 -0.34375 -4.5 1.125 -9 2.75 5.5 -1.125 -7.5 -104 -104
1.25 2.75 -6 -8 1.25 9 0.875 6.5 -4 -36 -36
5 -6 3.75 4.5 5.5 -1.875 9 8 -10 96 104
2.25 -2.5 -7 -7 -9 3.25 -6 5.5 1.875 -22 -26
4.5 7 -3 -7 1.125 -6 -1.875 -6 -4.5 6 5.5
9 -4.5 -0.625 1.75 -7 3 -7 -3.25 4 -72 -80
-1.875 -10 -9 5.5 -5 -9 -10 2.75 -9 192 192
-6.5 6.5 9 1.125 -9 -7 2 -4.5 3 26 32
2.75 -3.75 9 3.75 -2.75 9 -10 1.5 4.5 -120 -112
-2.25 1.875 6 8 -1.875 2.5 0.25 1.75 0.6875 26 24
3.25 -8 -5 -1 4 6.5 -5.5 -9 9 6.5 6
-8 -5.5 -10 -10 0.28125 -3.5 -4.5 -7.5 0.34375 144 128
3.5 9 -6 -0.625 10 -6 -1.75 0.5 -7.5 -16 -18
-6 -0.375 -3.5 3 7 -5.5 8 3.5 4.5 -48 -52
-5.5 -7.5 6.5 1.25 -2.5 5.5 -5.5 -3 -5.5 -64 -72
-10 -7 6.5 -4.5 8 -3.5 -7 2.5 2.75 -112 -104
1.875 6 0.75 -1.25 -3.25 -9 -4.5 -1.75 -5.5 -60 -64
7.5 -2 -0.3125 -1.375 2.5 -8 4.5 -9 -7 40 32
-4.5 -4 -4.5 -7.5 9 7.5 6 -3.75 9 -60 -56
7 4.5 -0.34375 0.4375 7.5 -3 -5.5 -7.5 -4 32 32
-5 6 -4.5 -4.5 -5.5 -1.5 -10 4.5 -7 36 36
4 3 4 -7.5 -10 -0.203125 6 -7 0.5625 36 36
-6.5 -4.5 -1.375 -5.5 -8 6.5 7 -6 4.5 48 48
-6.5 -9 -10 10 -6 -6.5 -5 3.75 -1.75 176 176
-3.25 -1.875 -2.5 0.40625 -5.5 -3.25 1.875 -4.5 -8 9 10
-3 -1.625 -8 -7 -6 5 2.25 2.5 6 -20 -20
6.5 3.75 7 -8 -9 2.25 1.875 2 8 -48 -48
-7 -8 6.5 -2.75 5.5 -5.5 1.25 8 8 0 -2
-9 5 -6.5 8 -5.5 -5 6 3.5 -9 4 3
5.5 -1.625 -1 -10 0.625 -3.5 -4 10 0.171875 -88 -80
-0.0234375 -2.25 -7.5 5 3.5 2.75 6 1.625 -5.5 -48 -44
0.46875 1.875 3.5 10 2.75 2.25 4.5 -6.5 -5.5 -48 -48
-8 0.28125 7.5 -3 10 -5 9 6 -3.25 -30 -36
-9 -1.875 -4.5 -0.75 5 -2 -4 0.9375 -7 -30 -28
1.125 5 1.875 -6.5 2 8 2.75 -1.5 0.101562 56 56
-1.625 0.5 -9 7.5 4.5 3.5 -8 -9 0.0273438 -3.5 0.0273438
-9 1.875 -5 4 1.625 -2.75 -0.0625 8 -2.5 8 10
1.875 0.234375 0.9375 -8 1.5 -5.5 -8 -7 -5 44 44
4 5 -8 9 -8 -1.875 9 3.75 6.5 -80 -72
1.75 -3.5 -9 -3.25 -2.75 -5 -0.625 -3 -5.5 22 22
9 -6 9 5 9 9 4.5 -6.5 7 40 40
-4 -9 1.375 6.5 0.0429688 9 -4 4 -7 -72 -72
-3.5 -4 4 -3.5 9 7.5 2.75 -4 -3.5 -40 -44
9 -2.75 2.25 -4.5 -7.5 5.5 7.5 9 1.5 -104 -104
-7.5 7 -3.25 3 0.5625 10 -10 8 -6.5 120 112
8 6.5 5 -2.25 1.25 0.4375 -5 -3.5 8 3 5
-7.5 6 -9 0.1875 -7.5 6.5 -7 -8 -5 144 160
10 5.5 -0.46875 0.6875 -1.875 7 -4.5 3 8 32 32
-9 -1.75 -9 -9 -10 -7.5 -4.5 5 8 112 104
6 -3.75 -5 -0.46875 2.5 5 1.875 2.5 2.25 -11 -11
-0.015625 4 -9 -2.25 -5.5 7 -1.75 0.6875 2.5 44 48
6 -8 -2.25 4 3.25 -4 0.25 -2.5 4.5 48 44
10 -9 4.5 -3.25 0.125 8 -9 7.5 6 -128 -120
-4 1.5 1.875 -3.25 0.5625 -7 9 -2.5 -7 5 5
6 2.75 3.5 -5.5 -10 -1.5 3.5 -3.25 -3.5 -44 -36
4 -5.5 2 4.5 -0.015625 -5.5 6.5 -6 7.5 20 24
5.5 -2.75 2.25 3.25 7.5 6.5 -1.625 8 -8 36 36
-4.5 7 -4.5 5 -5.5 -2.5 -4.5 -6.5 3.25 -2.5 -2.75
-5.5 3.5 -3.25 -9 2.5 0.5 -8 -1.625 2 30 30
2.75 5.5 -1.375 7 -6 6.5 -6 7.5 10 96 88
6 7 -6.5 -6 4 -9 4 -0.28125 -0.0390625 -64 -64
2.25 -0.5 4.5 8 -6.5 3.25 8 -0.34375 0.0585938 18 18
-3.75 -6 -4.5 -5.5 -2.75 -7.5 -5 3 -6.5 56 56
-3.25 9 -6 3 -4 9 4 10 3.25 104 104
-3.25 -3.5 3.75 8 7 0.40625 4.5 -3.5 -9 -44 -44
10 -0.5625 -2.25 3.5 3.5 9 -1.25 3 9 56 56
-9 -3.5 9 5 -10 -7 -7.5 2.5 -10 48 48
9 -3 0.5625 -1.375 -3.25 -8 7 -9 4.5 16 14
9 4 -9 9 6 1.875 -2 -5 -8 28 28
2 7 4.5 4 -9 2.5 1.375 5 2.75 28 28
8 -10 9 7 6 -3.25 -1.5 -9 -4.5 1 -4.5
-0.34375 -6.5 -6 -6 -8 4 3.75 -0.46875 6 -36 -40
-8 5.5 0.375 -0.4375 4.5 6 2.5 3.5 -2.25 -7.5 -7
-2.25 -0.625 7.5 8 -7 -6.5 5 -5.5 -1.125 12 11
1.125 3.25 -3.75 7 5 -5.5 -3.5 -9 -1.375 -64 -64
7.5 9 5.5 -8 -8 -8 9 3.25 1.25 -104 -104
-4.5 10 -10 3 10 -5 -9 0.8125 -10 -12 -16
10 10 9 2.75 -1.5 -3.75 -3.5 -6 0.875 -96 -96
9 3.5 -5.5 -0.875 -9 -0.9375 -9 -7 6.5 -16 -20
9 -5 -6.5 5 -2.25 -6 -2.5 3.5 2.25 44 48
4 -4 0.46875 7.5 -0.00390625 5.5 1.25 6 -0.5625 24 22
0.9375 -3.75 9 -0.15625 -5 -8 0.9375 3.5 -9 24 24
